Episode	Steps	Reward
1	100	-70.25
2	100	-31.72
3	100	-19.76
4	100	-9.93
5	100	-47.26
6	100	-91.48
7	100	-74.28
8	100	-17.68
9	100	-28.15
10	100	-59.80
11	100	-72.98
12	100	-74.33
13	100	-54.65
14	100	-18.47
15	100	-29.52
16	100	-81.72
17	100	-74.99
18	100	-21.67
19	100	-28.39
20	100	-63.78
21	100	-78.19
22	100	-58.91
23	100	-19.49
24	100	-31.18
25	100	-80.97
26	100	-89.88
27	100	-51.02
28	100	-13.30
29	100	-48.51
30	100	-90.57
31	100	-71.67
32	100	-20.79
33	100	-31.91
34	100	-76.86
35	100	-96.51
36	100	-79.45
37	100	-47.05
38	100	-13.48
39	100	-56.30
40	100	-93.02
41	100	-60.05
42	100	-85.30
43	100	-52.13
44	100	-81.33
45	100	-91.80
46	100	-83.34
47	100	-29.53
48	100	-17.54
49	100	-55.49
50	100	-52.47
51	100	-73.50
52	100	-70.20
53	100	-28.71
54	100	-81.30
55	100	-25.89
56	100	-67.41
57	100	-71.88
58	100	-81.63
59	100	-46.67
60	100	-27.96
61	100	-38.43
62	100	-39.01
63	100	-51.13
64	100	-41.24
65	100	-37.61
66	100	-62.83
67	100	-72.30
68	100	-31.23
69	100	-9.79
70	100	-3.69
71	100	-12.18
72	100	-35.89
73	100	-76.22
74	100	-64.42
75	100	-62.77
76	100	-29.37
77	100	-14.95
78	100	-16.54
79	100	-35.49
80	100	-71.15
81	100	-85.69
82	100	-74.14
83	100	-47.55
84	100	-34.38
85	100	-72.63
86	100	-72.01
87	100	-74.56
88	100	-94.75
89	100	-92.65
90	100	-93.44
91	100	-77.91
92	100	-84.69
93	100	-56.52
94	100	-44.97
95	100	-56.45
96	100	-61.55
97	100	-90.63
98	100	-59.43
99	100	-36.09
100	100	-43.88
101	100	-58.05
102	100	-94.12
